sesja	deutsch	polski	typ	beispiel_de	przyklad_pl	uwaga
2	das Fach, Fächer	przedmiot (na studiach)	rzeczownik	Medizin ist ein interessantes Fach.	Medycyna to ciekawy przedmiot.	Rodzaj nijaki: ein interessantES Fach
3	das Gedächtnis	pamięć	rzeczownik	Ich trainiere mein Gedächtnis.	Trenuję pamięć.	Nijakie — nie die, mimo polskiego rodzaju
3	trainieren	trenować	czasownik	Ich trainiere jeden Tag.	Trenuję codziennie.	Partizip II bez ge-: trainiert
3	sich aufhalten	przebywać	czasownik	Wir haben uns draußen aufgehalten.	Przebywaliśmy na dworze.	Zwrotne — brak uns to luka Active #5
3	der Bewegungsapparat	układ ruchu	rzeczownik	Der Bewegungsapparat interessiert mich.	Interesuje mnie układ ruchu.	Medyczne
3	faszinierend	fascynujący	przymiotnik	Das ist ein faszinierendes Thema.	To fascynujący temat.	
3	erforschen	badać	czasownik	Die Medizin erforscht den Körper.	Medycyna bada ciało.	Bez ge- w Partizip II: erforscht
3	der menschliche Körper	ludzkie ciało	zwrot	Medizin erforscht den menschlichen Körper.	Medycyna bada ludzkie ciało.	menschlich = ludzki, männlich = męski
3	bleiben	zostać	czasownik	Wir sind den ganzen Tag geblieben.	Zostaliśmy cały dzień.	SEIN w Perfekt — wyjątek, nie ruch. Luka #2
3	reisen	podróżować	czasownik	Ich bin nach Rom gereist.	Pojechałem do Rzymu.	SEIN w Perfekt. Luka #2
3	sich entscheiden	zdecydować się	czasownik	Ich habe mich für Medizin entschieden.	Zdecydowałem się na medycynę.	sich entscheiden FÜR + Akk.
3	entspannt	odprężony	przymiotnik	Abends bin ich entspannter.	Wieczorem jestem bardziej odprężony.	Nie mylić z entspannend (odprężający)
3	schlafen	spać	czasownik	Ich habe lange geschlafen.	Długo spałem.	Mocny: schlafen - schlief - geschlafen
3	das Gehirn, -e	mózg	rzeczownik	Das Gehirn funktioniert abends besser.	Mózg lepiej działa wieczorem.	DAS, nie die — luka Active #3
4	sich erholen	odpoczywać	czasownik	Ich erhole mich mit einem Buch.	Odpoczywam przy książce.	Zwrotne; mit + Dativ
4	abschalten	odciąć się, wyłączyć się	czasownik	Nach der Uni kann ich nicht abschalten.	Po uczelni nie umiem się wyłączyć.	Rozdzielnie złożone
4	die Gesellschaft, -en	towarzystwo	rzeczownik	Ich mag die Gesellschaft von Freunden.	Lubię towarzystwo przyjaciół.	Końcówka -schaft zawsze żeńska
4	sich konzentrieren (auf + A)	koncentrować się na	czasownik	Ich konzentriere mich auf Deutsch.	Koncentruję się na niemieckim.	auf + Akkusativ, nie Dativ
4	unterschiedlich	różnie, rozmaicie	przymiotnik	Das ist unterschiedlich.	To bywa różnie.	
4	die Zukunft	przyszłość	rzeczownik	In der nächsten Zukunft habe ich keine Prüfungen.	W najbliższej przyszłości nie mam egzaminów.	in DER nächsten Zukunft — luka Active #1
4	das Wochenende, -n	weekend	rzeczownik	Am Wochenende bin ich zu Hause geblieben.	W weekend zostałem w domu.	am Wochenende (Dativ)
4	draußen	na dworze, na zewnątrz	przyslowek	Wir waren den ganzen Tag draußen.	Byliśmy cały dzień na dworze.	
4	das Bier, -e	piwo	rzeczownik	Ich erhole mich mit einem kalten Bier.	Odpoczywam przy zimnym piwie.	mit einEM kaltEN Bier — luka Active #1
4	sprechen (über + A)	rozmawiać (o czymś)	czasownik	Wir haben darüber gesprochen.	Rozmawialiśmy o tym.	Mocny: sprechen - sprach - gesprochen
4	wohin die Beine einen tragen	dokąd nogi poniosą	zwrot	Wir gehen, wohin die Beine uns tragen.	Idziemy, dokąd nogi nas poniosą.	Idiom
5	der Unterschied, -e	różnica	rzeczownik	Der größte Unterschied ist das Personal.	Największa różnica to personel.	Rodzaj MĘSKI: der Unterschied. Sesja 5: ❌ "die größte unterschied"
5	aussehen – sah aus – hat ausgesehen	wyglądać	czasownik	Die Klinik sieht heruntergekommen aus.	Klinika wygląda na zapuszczoną.	Rozdzielnie złożony. NIE "sehen" — sesja 5: ❌ "Krankenhäuser siehst wie..."
5	heruntergekommen	zapuszczony, podupadły	przymiotnik	Das Krankenhaus ist ziemlich heruntergekommen.	Szpital jest dość zapuszczony.	NIE "billig" — billig to tani w cenie
5	unterbesetzt	z niedoborem personelu	przymiotnik	Die Station ist chronisch unterbesetzt.	Oddział ma chroniczny niedobór personelu.	Medyczne / o pracy w szpitalu
5	das Praktikum, Praktika	praktyki	rzeczownik	Ich mache ein Praktikum im Krankenhaus.	Odbywam praktyki w szpitalu.	L.mn. nieregularna: die Praktika
5	vergehen – verging – ist vergangen	mijać (o czasie)	czasownik	Der Tag vergeht ganz langsam.	Dzień mija bardzo powoli.	sein-Verb! Bez "es": ❌ "mein Tag geht's langsam"
5	zu Fuß	pieszo	zwrot	Ich gehe zu Fuß ins Krankenhaus.	Idę pieszo do szpitala.	Zawsze bez rodzajnika
5	sich vorbereiten (auf + A)	przygotowywać się (do czegoś)	czasownik	Ich bereite mich auf die Prüfung vor.	Przygotowuję się do egzaminu.	Zwrotne + rozdzielnie złożone; auf + Akkusativ
5	Apulien	Apulia	rzeczownik	Ich bin nach Apulien gefahren.	Pojechałem do Apulii.	NIE włoskie "Puglia" — interferencja 🇮🇹, sesja 5
5	... Wochen lang	przez ... tygodni	zwrot	Zwei Wochen lang habe ich gelernt.	Przez dwa tygodnie się uczyłem.	Liczebnik → L.MN.: zwei WochEN. Sesja 5: 3× ❌ "zwei Woche"
5	darüber / damit / dafür	o tym / tym / za to	zwrot	Wir haben letztes Mal darüber gesprochen.	Rozmawialiśmy o tym ostatnim razem.	Przyimek + da- zamiast "über das". Zdanie zafosylizowane od 2026-04-29
5	an der Uni	na uczelni	zwrot	Nach einem ganzen Tag an der Uni bin ich müde.	Po całym dniu na uczelni jestem zmęczony.	NIE "auf Uni", NIE "am uni". Uczelnia zawsze: an DER Uni
5	für + Akkusativ	dla / na / do (celu)	regula	Ich lerne für die Prüfung.	Uczę się do egzaminu.	für/ohne/gegen/um/durch = ZAWSZE Akkusativ. Nie każdy przyimek to Dativ!
5	Verb an zweiter Stelle	czasownik na 2. miejscu	regula	Um zehn Uhr gehe ich ins Krankenhaus.	O dziesiątej idę do szpitala.	Element na 1. miejscu -> czasownik 2., podmiot ZA nim. NIE "Um 10 Uhr ich gehe"
5	sich entspannen	relaksować się	czasownik	Ich entspanne mich mit einem kalten Bier.	Odpoczywam przy zimnym piwie.	Zwrotne - "mich" obowiązkowe. Synonim: sich erholen
6	anzünden – zündete an – hat angezündet	zapalić (świecę, spiralę)	czasownik	Ich zünde die Mückenspirale mit einem Feuerzeug an.	Zapalam spiralę na komary zapalniczką.	Rozdzielnie złożony — "an" ląduje na końcu. Sesja 6: słowo przyniesione z misji
6	die Entzündung, -en	stan zapalny	rzeczownik	Der Patient hat eine Entzündung im Knie.	Pacjent ma stan zapalny w kolanie.	Medyczne. Od sich entzünden (zapalić się). Końcówka -ung = die
6	das Feuerzeug, -e	zapalniczka	rzeczownik	Ohne Feuerzeug geht das nicht.	Bez zapalniczki się nie da.	ohne + Akk. BEZ rodzajnika
6	sich umziehen – zog sich um – hat sich umgezogen	przebrać się	czasownik	Im Krankenhaus ziehe ich mich schnell um.	W szpitalu szybko się przebieram.	Zwrotne + rozdzielnie złożone. Sesja 6: ❌ "umkleide ich"
6	die Mutter meiner Freundin	mama mojej dziewczyny	zwrot	Ich spreche jeden Tag mit der Mutter meiner Freundin.	Codziennie rozmawiam z mamą mojej dziewczyny.	CZYJ? idzie ZA rzeczownikiem. ❌ "meiner Freundin Mutter" — 3× sesja 6
6	... Wochen lang	przez ... tygodni	zwrot	Drei Wochen lang habe ich dort gewohnt.	Przez trzy tygodnie tam mieszkałem.	NIGDY "durch". Drugie wystąpienie błędu: sesja 5 i 6
6	später als sonst	później niż zwykle	zwrot	Heute fange ich später als sonst an.	Dziś zaczynam później niż zwykle.	Porównanie nierówne = ALS. "wie" tylko przy równych: so groß WIE
6	etwa um zehn Uhr	około dziesiątej	zwrot	Ich fange etwa um zehn Uhr an.	Zaczynam około dziesiątej.	um (nie am!) + etwa (nie etwas!). Sesja 5 i 6: ❌ "am 10 Uhr"
6	niemand / niemanden / niemandem	nikt	regula	Ich kaufe für niemanden etwas und spreche mit niemandem.	Nie kupuję nic dla nikogo i z nikim nie rozmawiam.	für + niemandEN (Akk) / mit + niemandEM (Dat). Odmienia się!
6	direkt	prosto, bezpośrednio	przyslowek	Nach der Vorlesung gehe ich direkt ins Krankenhaus.	Po wykładzie idę prosto do szpitala.	NIE "gerade" — gerade znaczy "właśnie, akurat". Sesja 6: 2×
6	ein paar	kilka	zwrot	Ich treffe mich mit ein paar Kollegen.	Spotykam się z kilkoma kolegami.	DWA słowa, bez końcówki. ❌ "einpaar" — sesja 5 i 6
6	streng	surowy	przymiotnik	Die italienischen Ärzte sind sehr streng.	Włoscy lekarze są bardzo surowi.	weil die Ärzte streng SIND — czasownik na końcu
6	Fragen stellen	zadawać pytania	zwrot	Wir gucken zu und stellen Fragen.	Patrzymy i zadajemy pytania.	Zawsze liczba mnoga: FragEN. ❌ "Frage stellen"
6	der Dienst, -e	dyżur, służba	rzeczownik	Nach dem langen Dienst fahre ich nach Hause.	Po długim dyżurze jadę do domu.	nach + Dativ: nach DEM langEN Dienst. W Dativie przymiotnik ZAWSZE -en
